"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9391","EC-117: Check whether user is able to enter Description or not (Qase ID: 117)","chromium","2026-01-27","passed","2026-01-27","","AddStandaloneConnectionTests/EC-117.spec.js","",""
"","4812","EC-267: Check whether user is able to see View All Logs option or not (Qase ID: 267)","chromium","2026-01-27","passed","2026-01-27","","DashboardTests/EC-267.spec.js","",""
"","11367","EC-126: Check whether user is able to see Token URL field or not (Qase ID: 126)","chromium","2026-01-27","passed","2026-01-27","","AddStandaloneConnectionTests/EC-126.spec.js","",""
"","1776","EC-79: Check whether the user can enter characters more than specified range in Username field (Qase ID: 79)","chromium","2026-01-27","passed","2026-01-27","","LoginTests/EC-79.spec.js","",""
"","4839","EC-260: Check whether user is able to see View Connections button or not (Qase ID: 260)","chromium","2026-01-27","passed","2026-01-27","","DashboardTests/EC-260.spec.js","",""
"","11232","EC-140: Check whether user is able to see required field indicators or not (Qase ID: 140)","chromium","2026-01-27","passed","2026-01-27","","AddStandaloneConnectionTests/EC-140.spec.js","",""
"","1754","EC-89: Check whether user can enter password starting with space in Password field (Qase ID: 89)","chromium","2026-01-27","passed","2026-01-27","","LoginTests/EC-89.spec.js","",""
"","4821","EC-253: Check whether user is able to land on Dashboard page after login (Qase ID: 253)","chromium","2026-01-27","passed","2026-01-27","","DashboardTests/EC-253.spec.js","",""
"","9276","EC-121: Check whether user is able to enter Base URL or not (Qase ID: 121)","chromium","2026-01-27","passed","2026-01-27","","AddStandaloneConnectionTests/EC-121.spec.js","",""
"","9478","EC-119: Check whether user is able to select EHR System from dropdown or not (Qase ID: 119)","chromium","2026-01-27","passed","2026-01-27","","AddStandaloneConnectionTests/EC-119.spec.js","",""
"","1799","EC-73: Check whether the alignments of displayed elements on the login screen is proper or not (Qase ID: 73)","chromium","2026-01-27","passed","2026-01-27","","LoginTests/EC-73.spec.js","",""
"","1684","EC-87: Check whether user can enter only numbers in Password field (Qase ID: 87)","chromium","2026-01-27","passed","2026-01-27","","LoginTests/EC-87.spec.js","",""
"","9397","EC-141: Check whether Connection Name field accepts special characters or not (Qase ID: 141)","chromium","2026-01-27","passed","2026-01-27","","AddStandaloneConnectionTests/EC-141.spec.js","",""
"","11214","EC-138: Check whether user is able to click on Save/Submit button or not (Qase ID: 138)","chromium","2026-01-27","passed","2026-01-27","","AddStandaloneConnectionTests/EC-138.spec.js","",""
"","9060","EC-111: Check whether user is able to see Add Standalone Connection button or not (Qase ID: 111)","chromium","2026-01-27","passed","2026-01-27","","AddStandaloneConnectionTests/EC-111.spec.js","",""
"","11393","EC-120: Check whether user is able to see Base URL field or not (Qase ID: 120)","chromium","2026-01-27","passed","2026-01-27","","AddStandaloneConnectionTests/EC-120.spec.js","",""
"","1794","EC-84: Check whether user can enter characters more than specified range in Password field (Qase ID: 84)","chromium","2026-01-27","passed","2026-01-27","","LoginTests/EC-84.spec.js","",""
"","1793","EC-88: Check whether user can enter password with combination of space in Password field (Qase ID: 88)","chromium","2026-01-27","passed","2026-01-27","","LoginTests/EC-88.spec.js","",""
"","11268","EC-132: Check whether user is able to see Key ID field or not (Qase ID: 132)","chromium","2026-01-27","passed","2026-01-27","","AddStandaloneConnectionTests/EC-132.spec.js","",""
"","10405","EC-136: Check whether form closes after clicking Cancel button or not (Qase ID: 136)","chromium","2026-01-27","passed","2026-01-27","","AddStandaloneConnectionTests/EC-136.spec.js","",""
"","11342","EC-124: Check whether user is able to see Client Secret field or not (Qase ID: 124)","chromium","2026-01-27","passed","2026-01-27","","AddStandaloneConnectionTests/EC-124.spec.js","",""
"","4876","EC-263: Check whether user is able to see Active Connections count on dashboard (Qase ID: 263)","chromium","2026-01-27","passed","2026-01-27","","DashboardTests/EC-263.spec.js","",""
"","9332","EC-133: Check whether user is able to enter Key ID or not (Qase ID: 133)","chromium","2026-01-27","passed","2026-01-27","","AddStandaloneConnectionTests/EC-133.spec.js","",""
"","2760","EC-81: Check whether the user is able to Log In without entering Password (Qase ID: 81)","chromium","2026-01-27","passed","2026-01-27","","LoginTests/EC-81.spec.js","",""
"","2766","EC-92: Check whether user is able to Sign In by keeping both fields blank (Qase ID: 92)","chromium","2026-01-27","passed","2026-01-27","","LoginTests/EC-92.spec.js","",""
"","4750","EC-76: Check whether user is able to enter valid Username and valid password and login or not (Qase ID: 76)","chromium","2026-01-27","passed","2026-01-27","","LoginTests/EC-76.spec.js","",""
"","5018","EC-268: Check whether user redirects to Audit Logs page after clicking View All Logs (Qase ID: 268)","chromium","2026-01-27","passed","2026-01-27","","DashboardTests/EC-268.spec.js","",""
"","9221","EC-137: Check whether user is able to see Save/Submit button or not (Qase ID: 137)","chromium","2026-01-27","passed","2026-01-27","","AddStandaloneConnectionTests/EC-137.spec.js","",""
"","4807","EC-266: Check whether user is able to see Recent Activities on dashboard (Qase ID: 266)","chromium","2026-01-27","passed","2026-01-27","","DashboardTests/EC-266.spec.js","",""
"","11969","EC-130: Check whether user is able to see Private Key field or not (Qase ID: 130)","chromium","2026-01-27","passed","2026-01-27","","AddStandaloneConnectionTests/EC-130.spec.js","",""
"","3706","EC-78: Check whether the user is able to Log In using unregistered Username id (Qase ID: 78)","chromium","2026-01-27","passed","2026-01-27","","LoginTests/EC-78.spec.js","",""
"","9401","EC-125: Check whether user is able to enter Client Secret or not (Qase ID: 125)","chromium","2026-01-27","passed","2026-01-27","","AddStandaloneConnectionTests/EC-125.spec.js","",""
"","9272","EC-127: Check whether user is able to enter Token URL or not (Qase ID: 127)","chromium","2026-01-27","passed","2026-01-27","","AddStandaloneConnectionTests/EC-127.spec.js","",""
"","3758","EC-82: Check whether the user is able to Log In using invalid Password (Qase ID: 82)","chromium","2026-01-27","passed","2026-01-27","","LoginTests/EC-82.spec.js","",""
"","2719","EC-91: Check whether user is able to set only space as password (Qase ID: 91)","chromium","2026-01-27","passed","2026-01-27","","LoginTests/EC-91.spec.js","",""
"","1818","EC-74: Check whether the size, color, and UI of different elements is matching the specifications or not (Qase ID: 74)","chromium","2026-01-27","passed","2026-01-27","","LoginTests/EC-74.spec.js","",""
"","4890","EC-258: Check whether user is able to see Profile option or not (Qase ID: 258)","chromium","2026-01-27","passed","2026-01-27","","DashboardTests/EC-258.spec.js","",""
"","9305","EC-131: Check whether user is able to enter Private Key or not (Qase ID: 131)","chromium","2026-01-27","passed","2026-01-27","","AddStandaloneConnectionTests/EC-131.spec.js","",""
"","4804","EC-264: Check whether user is able to see Active Workflows count on dashboard (Qase ID: 264)","chromium","2026-01-27","passed","2026-01-27","","DashboardTests/EC-264.spec.js","",""
"","1709","EC-86: Check whether user can enter password with combination of special characters (Qase ID: 86)","chromium","2026-01-27","passed","2026-01-27","","LoginTests/EC-86.spec.js","",""
"","1818","EC-71: Check whether user is able to open login page or not (Qase ID: 71)","chromium","2026-01-27","passed","2026-01-27","","LoginTests/EC-71.spec.js","",""
"","1707","EC-75: Check whether user is able to see Username and Password fields on the login page or not (Qase ID: 75)","chromium","2026-01-27","passed","2026-01-27","","LoginTests/EC-75.spec.js","",""
"","11336","EC-122: Check whether user is able to see Client ID field or not (Qase ID: 122)","chromium","2026-01-27","passed","2026-01-27","","AddStandaloneConnectionTests/EC-122.spec.js","",""
"","9399","EC-145: Check whether form retains data after validation error or not (Qase ID: 145)","chromium","2026-01-27","passed","2026-01-27","","AddStandaloneConnectionTests/EC-145.spec.js","",""
"","11310","EC-128: Check whether user is able to see Scope field or not (Qase ID: 128)","chromium","2026-01-27","passed","2026-01-27","","AddStandaloneConnectionTests/EC-128.spec.js","",""
"","10596","EC-112: Check whether user is able to click on Add Standalone Connection button or not (Qase ID: 112)","chromium","2026-01-27","passed","2026-01-27","","AddStandaloneConnectionTests/EC-112.spec.js","",""
"","4767","EC-257: Check whether user is able to see Settings option or not (Qase ID: 257)","chromium","2026-01-27","passed","2026-01-27","","DashboardTests/EC-257.spec.js","",""
"","4855","EC-254: Check whether user is able to see Dashboard page UI properly or not (Qase ID: 254)","chromium","2026-01-27","passed","2026-01-27","","DashboardTests/EC-254.spec.js","",""
"","6075","EC-261: Check whether user is able to click on the View Connections button or not (Qase ID: 261)","chromium","2026-01-27","passed","2026-01-27","","DashboardTests/EC-261.spec.js","",""
"","12055","EC-114: Check whether user is able to see Connection Name field or not (Qase ID: 114)","chromium","2026-01-27","passed","2026-01-27","","AddStandaloneConnectionTests/EC-114.spec.js","",""
"","1783","EC-72: Check whether all login-related elements and fields are present on the login page or not (Qase ID: 72)","chromium","2026-01-27","passed","2026-01-27","","LoginTests/EC-72.spec.js","",""
"","9438","EC-123: Check whether user is able to enter Client ID or not (Qase ID: 123)","chromium","2026-01-27","passed","2026-01-27","","AddStandaloneConnectionTests/EC-123.spec.js","",""
"","9972","EC-129: Check whether user is able to enter Scope or not (Qase ID: 129)","chromium","2026-01-27","passed","2026-01-27","","AddStandaloneConnectionTests/EC-129.spec.js","",""
"","10364","EC-135: Check whether user is able to click on Cancel button or not (Qase ID: 135)","chromium","2026-01-27","passed","2026-01-27","","AddStandaloneConnectionTests/EC-135.spec.js","",""
"","9255","EC-143: Check whether Base URL field validates URL format or not (Qase ID: 143)","chromium","2026-01-27","passed","2026-01-27","","AddStandaloneConnectionTests/EC-143.spec.js","",""
"","4796","EC-259: Check whether user is able to see Connections option or not (Qase ID: 259)","chromium","2026-01-27","passed","2026-01-27","","DashboardTests/EC-259.spec.js","",""
"","3771","EC-80: Check whether the user is able to Log In using Username email (Qase ID: 80)","chromium","2026-01-27","passed","2026-01-27","","LoginTests/EC-80.spec.js","",""
"","11316","EC-116: Check whether user is able to see Description field or not (Qase ID: 116)","chromium","2026-01-27","passed","2026-01-27","","AddStandaloneConnectionTests/EC-116.spec.js","",""
"","9503","EC-144: Check whether user can clear all fields after entering data or not (Qase ID: 144)","chromium","2026-01-27","passed","2026-01-27","","AddStandaloneConnectionTests/EC-144.spec.js","",""
"","1701","EC-83: Check whether the data in password field is visible as asterisk or bullet signs (Qase ID: 83)","chromium","2026-01-27","passed","2026-01-27","","LoginTests/EC-83.spec.js","",""
"","11228","EC-118: Check whether user is able to see EHR System dropdown or not (Qase ID: 118)","chromium","2026-01-27","passed","2026-01-27","","AddStandaloneConnectionTests/EC-118.spec.js","",""
"","9309","EC-142: Check whether Connection Name field has character limit or not (Qase ID: 142)","chromium","2026-01-27","passed","2026-01-27","","AddStandaloneConnectionTests/EC-142.spec.js","",""
"","11348","EC-139: Check whether validation errors are shown for required fields or not (Qase ID: 139)","chromium","2026-01-27","passed","2026-01-27","","AddStandaloneConnectionTests/EC-139.spec.js","",""
"","10066","EC-113: Check whether user is able to see Add Standalone Connection form/modal or not (Qase ID: 113)","chromium","2026-01-27","passed","2026-01-27","","AddStandaloneConnectionTests/EC-113.spec.js","",""
"","4766","EC-256: Check whether user is able to see Audit Logs option or not (Qase ID: 256)","chromium","2026-01-27","passed","2026-01-27","","DashboardTests/EC-256.spec.js","",""
"","10568","EC-115: Check whether user is able to enter Connection Name or not (Qase ID: 115)","chromium","2026-01-27","passed","2026-01-27","","AddStandaloneConnectionTests/EC-115.spec.js","",""
"","1761","EC-90: Check whether user is able to paste password in the Password field (Qase ID: 90)","chromium","2026-01-27","passed","2026-01-27","","LoginTests/EC-90.spec.js","",""
"","1776","EC-85: Check whether user can enter characters less than specified range in Password field (Qase ID: 85)","chromium","2026-01-27","passed","2026-01-27","","LoginTests/EC-85.spec.js","",""
"","2868","EC-77: Check whether the user is able to Log In without entering Username (Qase ID: 77)","chromium","2026-01-27","passed","2026-01-27","","LoginTests/EC-77.spec.js","",""
"","12267","EC-146: Check whether user can close the form using X button or escape key or not (Qase ID: 146)","chromium","2026-01-27","passed","2026-01-27","","AddStandaloneConnectionTests/EC-146.spec.js","",""
"","4744","EC-255: Check whether user is able to see Workflows option or not (Qase ID: 255)","chromium","2026-01-27","passed","2026-01-27","","DashboardTests/EC-255.spec.js","",""
"","7357","EC-262: Check whether user redirects to Connections page after clicking View Connections (Qase ID: 262)","chromium","2026-01-27","passed","2026-01-27","","DashboardTests/EC-262.spec.js","",""
"","9476","EC-134: Check whether user is able to see Cancel button or not (Qase ID: 134)","chromium","2026-01-27","passed","2026-01-27","","AddStandaloneConnectionTests/EC-134.spec.js","",""
"","4809","EC-265: Check whether user is able to see License Remaining count on dashboard (Qase ID: 265)","chromium","2026-01-27","passed","2026-01-27","","DashboardTests/EC-265.spec.js","",""
